,Whisky,Review
190,Ardmore Triple Wood - Peated,"Ardmore Triple Wood. Consumed Aug 2019. Faint fennel. A touch harsh on the nose. Sharp with woody ex-bourbon cask notes. Taste is surprisingly hot and young tasting, quite firey and unrefined. Faint estery fruits. Yikes this tastes young. Hot and not perhaps that well put-together, which is very unfortunate as I have really enjoyed some of Ardmore's standard range. Not horrible but not a particularly good beverage either. Drinkable enough but very simplistic."
191,Ardmore Triple Wood - Peated,"Wet wood, bourbon, dark chocolate, citrus, dried fruit, grass, honey, hazelnuts, malt, oily and tobacco scent.Green apple, bourbon, vanilla, dark chocolate, grass, hazelnuts, honey, citrus fruits, tobacco, oily, pepper,Green apple, bourbon, pepper, vanilla, dark chocolate, citrus fruits. hazelnuts, tobacco, oily, malt and honey"
192,Ardmore Triple Wood - Peated,
193,Ardmore Triple Wood - Peated,"Cheap Travel Retail Bottling - Well Done!fine vanilla, caramel, malt, subtle smoke;soft oily-creamy onset, cereals, muesli bars, honey, caramel, apples, gentle smoke, nicely balanced, uncomplicated;short, nutty finish; light smoke and oak fade away;"
194,Ardmore Triple Wood - Peated,"Similarly to other Ardmore NAS offerings, it provides a good quality, young Single Malt without the biggest depth.Doesn't have nearly as much Sherry cask influence as the ""Laphroaig Triple Wood"".black pepper, peat smoke, heather, herbal, nutty, caramel, chocolate, bacon, sauerkraut, vanilla, appleblack pepper, peat smoke, vanilla, caramel, chocolate, rosemary, oranges, honeymedium to long and soft finish."
195,Ardmore Triple Wood - Peated,"good drink whisky, although the flavor is also very decent"
196,Ardmore Triple Wood - Peated,A little bit of everything and still not that full bodied.
197,Ardmore Triple Wood - Peated,"rustic on the nose, pears, fruit, does not develop  the taste is also simple drinking, fruity, slightly salty  short aftertaste"
198,Ardmore Triple Wood - Peated,"Overall a bit watery advised, the 46% do the malt neither good nor bad. Conclusion: another NAS Ardmore, who does not convincedecent peat smoke, but immediately noticeable no islanders. Herbaceous, dry smoke, typical of the Highlands (BenRiach or Benromach). Bright fruits, green apples and pearspleasantly dry smoke, citrus and grassy notesshort"
199,Arran 10-year-old,"Ralfys Whisky of the year so we have to try it right? ;) Werther's Echte ( cream caramel drops) Fresh Wood, some polish Vanilla, and apples, peaches and some milky chocolate / slight cinnamon in the finish... from start to finish. The alc. is quite well away integrated. you can sense it a bit in the nose and palate.Its quite good but far away from the old 14 even though I didn't rate it high here...had it on the beginning of my journey couldn't appreciate things I do now. Def. This Can't hide the youth imo. For the start a solid 83.PPrice/Performance is ok. No way to be near a 90. After some glasses: it wins with time and few drops of water gets less harsh (the polish in the nose goes away) still far away from comparable single casks/ cask strength whiskies /85"
200,Arran 10-year-old,"Nice whisky. He crossed the 80-point line with confidence. Did you like it? Will it be remembered? No.The first nose is apricot jam, grapefruit. Deeper - white bread, grass and oak bark.Apricot, sweet pastries, pepper, mint.Medium duration, with hints of fresh bread, apricot jam and hazelnut, citrus acidity and dry tannins."
201,Arran 10-year-old,"The rounded aroma is dominated by peach jam with grapefruit zest and caramel. The sweet taste includes boiled fruits, oranges, peaches and unripe pineapples. Medium-length finish, astringent, nutty lemon. The new ten hits my head better than the old one, which was cocky, bourbon and very ruffy, the Arrans are great for changing it. RATING: 83pts - | 83 - 86 (B) → Good | - Not a “must”, but a nice-to-have."
202,Arran 10-year-old,"Update: December 2021I will bump my old rating up by one... this is mega. Fresh oak, honey, not quite candied ripe fruits, herbs. More herbal and cereal focus on the palate, and that tobacco ash finish! A mini masterpiece.A wonderfully vibrant 10-year old - showing the industry how it's done! Doesn't pull any punches or aim at being soft or smooth - this one is full of flavour, so it deserves a bit of time.Orchard and tropical fruit balanced with fresh green wood, softened by the ex-bourbon cask usual suspects of vanilla and honey.Fruity, woody, sweet. Prickly. Give it a few minutes in the glass so the initially overpowering dry fresh oakiness can subside. After that, it's one of the more rewarding noses of any 10yo I've tried - very vibrant and lots to discover.Fruits blending with fresh woody notes. Pear, baked pineapple, green apple, grapefruit, blood orange, hint of apricot. Green stems and buds, pineapple stem, pear stem, hints of moss and tree bark, sap, propolis. Wild strawberries?All of this is supported by beautiful sweet notes: honey, vanilla pastry, caramel. Some hints of fresh, sweet herbs (clary sage oil).Slightly prickly, a balancing act between fruity sweetness and beautiful acidity. Woody with a fresh green tinge.Orange candy, banana, lemon, caramel, vanilla pastries, fresh budding fir needles (try them, they're delish!), mentholic nuance.Some spice in the development (cardamom, ginger), distinctly dry cigar tobacco / ash finish, reminds me of the aftertaste of lighter cigars.Cigar ash, red apple, honey. Quite dry, thoroughly enjoyable."
203,Arran 10-year-old,"Slightly sour sweet baked apples with cinnamon, brown sugar, ginger and dark bread.RATING: 83pts - [n20,t21,f21,b21] → |83-85: Decent|"
204,Arran 10-year-old,"Liked the older 10 a bit better, but overall just a slight change in style, not as ""orangey"" anymore imho and a bit wilder, less balanced than the old 10 out of the bottle. Perhaps with much air things'll change? Still good bang for the buck, but perhaps almost too ""extreme"" to start a beginners' tasting with.Arran maltiness, yellow fruits, vanillastewed yellow fruits, a lemon-y component, but also rather strong oak influence and/or spicyness that makes the balance of the mal suffer a bit. And a bit alcohol hot it is, too which perhaps comes down to a change in the distillation cut?Medium, light oak notes, spicyness"
205,Arran 10-year-old,"N: vanilla, apple, grain, raisins, lime S: fresh, sweet, butter cookies, slightly peppery, ripe lime F: dark chocolate, peppery"
206,Arran 10-year-old,"Lemon, pineapple, vanilla. The nose looks a bit alcoholic, young and half-bakedLemon, mineral and light vanillaDeparture brings nothing new. All in all, unfortunately, only a well"
207,Arran 10-year-old,"Very nice dram, does all the basic stuff really well. No bells and whistles, but it really delivers.Review: https://youtu.be/DbbqUCDrmAwLemon, vanilla, dried fruits, toffee, honey, dried herbs, light acetone, cream, overall nice ""cake"" nose.Easy on the palate, good dose of cane sugar, simple sweetness, light oak, good amount of barley, toffee, dried fruits, dates, a bit of mint. Second chew gets a bit more spicy, peppery, and also brings vanilla cream as well as lemon oil. Really quite good. On the third chew it gets drier, with slight leather notes, light tobacco leaves, a bit of fresh grass, dried herbs, some liquorice, vague hint of smoke. Really well made as easy drinkers go.Light, some spices, drier, but still some sweetness and toffee. Grassy notes, tobacco leaves, dried herbs, and cream."
208,Arran 10-year-old,Tasted and assessed in a blind tasting - ProefOlympics # CL2 - April 2020. Was a bit disappointing (but certainly tasty for the price.
209,Arran 18-year-old,"I am relatively enthusiastic about this bottling. This is a completely different malt than the old one. The focus is clearly on the ripening of sherry and it hits it quite well.  An independent ""winey"" profile with highs and little depths.  With he likes.A very slight alcohol bite is the first thing on the nose, but really minimal and with a little time it flies completely. Otherwise, the first thing to hold back is the nose. Extremely dense and rich but reserved. It sounds like a contradiction at first, I know, but that's the way it is.  Next comes a slightly sour / winey fruitiness that is not out of place at all.  Very interesting and far from being fully explored.  For all of you who have read so far: now it's getting classic:  Very nice sherry ripening with everything that goes with it. Old leather, tobacco, raisins, plums, a nice pinch of spice and the oak hilt gently follows and pushes in beautifully.  Over time, the alcohol comes back. That is the only point of criticism.The start is very gentle but not lax. He sweetly dresses the mouth area before the malt becomes more spicy with every second. Sweetness, fruit and spice hold the balance. Very pleasant  Everything is backed by a very pleasant carpet of wood and the tannins from it.  Again I have the sticking point from my nose: the alcohol is coming again.  While we're whining: it's a little one-dimensional, but by no means boring.The finish is not too long and very harmonious. Here suddenly cherries come and it is fresh again.  Coffee plays a role again, but more milk coffee."
210,Arran 18-year-old,"Noticeably different from the old one and also completely different on the nose. They are not comparable, because the old one is a bourbon / sherry whisky at its best and the new one is ""supposedly"" made with two different sherry barrels and is very demanding. It has certainly already leased its place with sherry lovers. On the palate and in the finish it is special and much spicier! You have to like that. The old one is not better, but only more independent ... Conclusion: ... Both are very good.Wow, fresh and fruity straight away. Very attractive. Will be the best part. This nose is markedly good. All nouns of fruitiness and wonderfully dominant but not too heavy, rather on the light, sour fruit side. Orange peel and berries pickled in alcohol. Splendid. Respect to Arran. This nose can be sold. Top!Sweet, creamy, inviting and not too full and heavy in texture. Rather loosely and lightly, it combines peppery tannin spices with fine to artificial citrus fruitiness and the inconspicuous chocolate bananas with raisins. Made class without being intrusive. Is inconspicuous, or shall we say “very soft” and a cautious finish. But what shouldn't be a criticism. Ingeniously balanced culinary delight without rough edges. Many will say something boring. I like that very much. Happy 88!Medium to long he walks with his head held high, without pursuing and simulating any show-offs. Solid and well coordinated, it slowly lets go of what it delivered from the nose to the palate. Finish at the best level and felt 2 to 3 years older! Claim: There will not be a day in the year that this malt does not work. He deserves an award, no ifs or buts. Congratulations to Arran!"
211,Arran 18-year-old,"Very nice balance of sour, fruity notes and spiciness. Plus the ginger spiciness - I like it a lot. Overall balanced and not very complex, but still not boring. For me a wonderful standard for the home bar.  (Rating: +)Sweet; sour and fruity; colorful fruit basket; Oranges; Raisins; Vanilla sauce; Spices; delicate beautifully integrated oak wortgentle fruity sweet and sour taste; which is quickly complemented by a fine spiciness as a counterpoint; Oranges; Grapefruit; fine tingling ginger spiciness lies on the tongue; Chocolate notes  Great balance of fruity sweetness and spiciness. Everything is very harmoniousmedium length; spicy; sour and fruity; Grapefruit; dark chocolate; some milk coffee; delicately tart oak flavor; Ginger spiciness"
212,Arran 18-year-old,"The nose smells a little sulphured to me at first but then settles down , a decent sherries nose on show here.The palate is nondescript and does not improve with water either.Adding even more water does not improve it, This is so boring I cannot be bothered to do a full tasting note, Arran is better from a bourbon cask in your view and I are always better than official bottlings.The quality to price ratio is rubbish, this is worth no more than £30."
213,Arran 18-year-old,"Needs some time in the glass, sweet at first and a little reserved. After a few minutes full and delicate.  Milk chocolate, trail mix, cinnamon and oak. Very balanced.Round and flattering, very gentle. Chocolate, raisins, dates, some cinnamon. Then the drier tastes, spices and gentle oak.  The alcohol is practically not noticeable (as on the nose).Medium length, gently spicy and fresh."
214,Arran 18-year-old,"Had this in a line-up with six Arrans, this was by far the darkest in colour (also compared to the 21). It's definitely more sherried than the old 18 years from 2016/2017 (wb id 79561). Still, it is no real sherry bomb. It has good and interesting flavours, but it's also a bit shy and collapes at the finish.Citrus fruits and pineapple. Milk chocolate with hazelnuts, croissant, honey, shoe polish coffee. A nice array of flavours, but it requires some effort: it's quite closed at first.Starts with the signature Arran fresh and sour citrus fruits, followed by 'darkness': dark chocolate, figs, crème brûlée and roasted peanuts.Vanilla essence, sour citrus fruits, bitter coffee and a oaky spiciness that morphs into soapy coriander."
215,Arran 18-year-old,"Heavily sherried malt that rests mainly on tropical fruits and vanilla. Probably American oak rather than European. This doesn’t have the depth of character of some of my other go to sherried 18yos like Bunnahabhain or Glendronach. But, it is also much more reasonably priced than those ones now. So as far as value goes, this delivers a great experience of what a good dose of aging and sherry casks can do. Just don’t expect those raisin/Christmas cake notes other more traditional European sherry malts provide. This one has a more modern, fruitier approach. Refreshing and tasty."
216,Arran 18-year-old,"At least my batch (first of the new line-up?) was disappointment. Very dark-brownish for a standard 18 yo, but the taste could not fulfill the promise given by the color. Not elegant as the previous version of the 18, not overly complex, tasted younger than 18 as if medicore casks were used. I wonder how the color got into the malt when the sherry was not dark but rather bright sherry influence with citrus fruit notes, oak tannins that kept be baffling. Even with time and air it did not become distinctly better. Let's hope newer batches are better.Bright sherry taste, more citrussy with some tobacco notesUnbalanced, rather simple. Taste does not reflect the color, seems like cheat - not even PX sweetness - sherry finish. No distinct Arran distillery character. Lackluster. Seems a bit waterey, too, despite the 46 abv.Short to medium long, some oak tannis remain, some of the cheap bright sherry notes, too."
217,Arran 18-year-old,
218,Arran 18-year-old,"This may just be my personal preference, but I would've liked less overt sherry here – perhaps as in the wonderful old 14-year-old. And I wonder what an all-bourbon Arran 18 (in the style of the current Deanston 18) would be like.A lot of sherry (dry Oloroso style), cranberries, christmasy baking spices, umami, trail mix and leather. Beneath the sherried overcoat, you can still sense some bourbon-matured components and the typical tart and citric Arran character. Pretty flawless, but also completely unsurprising. I feel like there would be zero added benefit in buying a whole bottle vs just a sample. No mysteries, rough edges, or anything else, really that would warrant long-term interest.I don't know, man. Somehow the combination of intense sherry and Arran spirit never works for me. The mellow, sumptuous vibe that Oloroso-centered maturation creates clashes with the pronounced acidity that Arran often displays. There's also a weird fizzy citric feeling to the palate, which doesn't fit at all with my idea of a sherried malt. To be sure, this is better than the old (ca. 2016) 18-year-old, whose sherry influence was a touch rubbery and artificially sweet-seeming, but I still wouldn't need more than a dram of this. However, if you like your sherried whiskies rather sour, fizzy-dry and tart, this is well worth a look. And the sweetness does return in the finish (see below).Aceto balsamico, redcurrant, brown sugar, cinnamon pastry."
219,Arran 21-year-old,"The second from the core range at the age of 21, but this time not limited, ... positive. One thing in advance. He can't get to the old 21! I share the opinion of ""Archer"". The palate has disturbing or almost missing notes, no longer on the acceptable side. Did the wrong barrels come together? Barrels not burned out enough? Unfortunately, whatever, went wrong with barrel management. The old 21 is clearly better! My personal impression. PS: See also the notes from Archer!Oha. Airy volume on the nose. Very fresh and flowery. It is also made on the light side and fine in aroma. Sweet Arran citrus with light vanilla and caramel notes. Against the 18s old & new, it weakens a bit and is not that full of fruity. Especially the new 18 series sets the bar very high. This 21 cannot fully convince his own 18 colleagues on the nose. And yet the nose is its best part. It smells delicious!Soft texture. But does not keep what the nose promised. Behavior simple, almost boring. Creamy and oily ok, but getting dry with a delicate bitterness that is also slightly annoying. But he stays cute! There is also some burned wood. The malty notes also go in the bitter direction. The oral cavity is worth a maximum of 84. Sorry Arran, that's not enough! Was it saved on the barrels here? At least this batch was not optimal.The finish is also not up front. Just a little sweet and sour. After that it gets lukewarm and, unfortunately, reluctantly, he goes there for a medium time. It's a shame, he didn't hold out either. In addition, he is strangely grumpy in the back. Personal Opinion: One of the barrel rows was treated incorrectly. Compared to his very good 18 brother in the PLV, things are certainly not easy for him. Once again I say “a big THANK YOU to my brother in spirit for the great rehearsal”! Stay healthy !"
220,Arran 21-year-old,"One very famous cap-wearing Youtube reviewer just gave this a 91. The whisky in his bottle looks darker than mine, but mine is a recent release. I'm wondering if he's tasting the same whisky? I like the new Arran 18. It's quite tasty. But the 21? Um, no. Not even good enough to bother with tasting notes. I'm giving away my bottle to an acquaintance who did me a favor and is used to drinking far inferior whisky to this. He will love it, and that makes me happy."
221,Arran 21-year-old,"Dangerously tasty, and sweet for a 21yo. Set at the same time, and fresh, the oak tends to behave for the age, and herbal.It starts with cocoa and citrus notes. Orange and grapefruit, jaffa cake. A couple of dried garden herbs, marjoram, thyme, and fresh tomato plants. Then comes apple compote with some cinnamon and vanilla.Strong start, oily mouthfeel, a strong, dark caramel note makes the beginning, and combines with ripe oranges and some cinnamon. Vanilla. Roasted hazelnuts introduce the oak, which is more herbaceous.Medium. Orange, cinnamon, caramel, vanilla and milk chocolate."
222,Arran 21-year-old,"The nose is filled with an assortment of dried fruits dominated by raisins, prunes and marzipan. The taste is slightly sweet, tannic with hints of milk chocolate and salted caramel. Medium-length finish, astringent, chocolate-caramel. It is inferior to the old 21-year-old not so much in quality, but in depth of organoleptic and interestingness, but otherwise it is a very beautiful whisky. RATING: 87pts - | 87 - 89 (B +) → Great | - Always nice to have a bottle of this."
223,Arran 21-year-old,"A honest Arran, representative for what this distillery has to offer. Although I can't get used to this dry and bitter herbal finish I often experience with Arran.Rather dusty, with the tyoical Arran fresh citrus notes. A bit of yogurt and coconut biscuit. Opens up more more: redcurrants, guava, and floral notes join the party.Fresh and sweet fruits: Sicilian lemons (much sweeter than the supermarket ones) and passion fruit. It has an oily mouthfeel, that also reveals some vanilla, croissants, and fine (not bitter) garden herbs.Waves of sweetness, mainly on orange marmelade. It's a bit spicy (coriander?) and has an metallic edge. Unfortunately becomes more dry and oaky after a while."
224,Arran 21-year-old,"(Tasted semi-blind; I knew it was Arran, not which one)NOSE: Lovely fruitiness on the nose with fresh yellow apples and yellow plums. Then more typical bourbon barrel notes of vanilla, dried banana and other dried yellow fruits. (87p).TASTE: The arrival is soft and fruity, again yellow orchard fruits. The fruitiness really continues onto the mid palate all the way into the exit. Lovely fruitiness plus some sweet barley juice. It is just a little nippy, suggesting that this may be in the upper 40s or lower 50s, ABV wise. (86p).EXIT: More yellow fruits, barley juice, very mild black pepper. (86p).OVERALL: A fruit and barley driven, bourbon barrel aged Arran, where the distillate gets to shine. Almost pure fruit & barley juice, with just a minor bitter bite towards the end. Juicy but not very complex. Very recognisable Arran signature here, I think. Age wise I would think 12 - 18 years old. TOTAL SCORE 86 points."
225,Arran 21-year-old,"Damn a shame that with this great nose it breaks down on the palate and in the finish. One could almost assume that a few bad barrels were mixed in. This musty and musty note, which he shows on the tongue, scratches pretty hard on the border to the missing note.At first contact you could almost think that the whisky could not be located on Arran, but on the Kintyre peninsula a few miles west - a little Glen Scotia lemon here, a little springbank minerality there.  Very fresh nose with just that lemon, sea salt, dried seaweed, damp pebbles. Straight sliced apricots, nice and fleshy and juicy. A touch of flower shop with fresh cut flowers pulls through. White chocolate, nutmeg. Fresh fruitiness and spice complement each other very well.Creamy start with tart herbs and a musty note. The freshness from the nose is barely there, the older barrel and damp, clammy wood clearly prevail here. Keller Moder. A stark contrast to the fresh-looking nose. There is an inkling of putrefaction here, and you can hardly identify and name specific flavors otherwise.Shouldn't be as long as it is.  The musty and putrid note settles on the tongue and takes root there. Bitter herbs, cellar, damp wood, wet autumn leaves, burnt caramel."
226,Arran 21-year-old,"tasted this one at spirits in the sky very disappointing whisky no dept , short finish , almost no complexity there are better things to buy for 150euro"
227,Arran 21-year-old,"Various Arran expression surprised me quite a bit but also several ones disappointed me. The line so far was rather linear. That means, the more ages comes in the better it seemed to get. Where the 18yo was all about sherry, this 21 seems, purely by color, more sophisticated.Fresh, sweet and sour. Ripe tropical fruits get to my nose instantly. Ripe banana’s, melon and apricot. Also darker flavors like cocoa and floral notes like in flower buds. Also quite some vanilla. Enough sweetness but also something sour like yoghurt.Very oily on the palate with loads of citrus and tropical fruits. Mid-palate quite some dry flavors like in cinnamon and almond paste start to take over. Also Mediterranean spices play a part.Medium-long. It’s a logical continuation of the palate. It’s remaining in dry flavors mostly, being lead by Mediterranean spices, vanilla, honey and a whiff of corn like in popcorn. Quite some bourbon-driven flavors. I don’t really know it with this one. I expected more of it to be honest. It’s not bad, certainly not. But somehow it can’t really please me neither. Water doesn’t change a lot. It’s tasteful but it’s a what you see is what you get kind of whisky at the same time. I’d prefer the 18yo. More depth and complexity is to be found there."
228,Arran 21-year-old,"Rich tropical fruits, fresh apples, juicy pears, fresh grass, mud after the first rain, flowers, butter, soft citrus, raisins and sultanas, apricot, chocolate, ginger, pickle, soft toffee. Luscious and juicy. Exquisite."
229,Arran Sherry Cask  The Bodega,"Nose: strong sherry aromas, but they are very fresh. A nice mix of light fruity, citrus and sherry flavors. Flowery, caramel, toasted almonds, hazelnuts, raisins, marzipan, lemon, blood orange, sweetened peppermint tea.  Taste: oily, sweet, great onset, sweet / spicy, he pushes on with schnapps squash, apple juice, dried fig, peach, overripe pear, again the nut corners, milk chocolate.  Finish: Medium long, very sweet, the oak is noticeable, becomes dry but remains sweet and slightly tart, the citrus notes always resonate in the background.  Nice connection of the citrus-freight with the sherry-flavors, the alcohol-strength also fits very well. Not too young and no sulfur. Of that I could imagine a bottle zuzlegen, he is probably not too old, so it lacks in the mMn a bit of depth. Is still delicious"
230,Arran Sherry Cask  The Bodega,"Balance (21)  Not bad (84)Sweet dried fruits, minerality, lacquer, cherry ... milk chocolate. BakingYoung but without notes (21)Fruits, varnish, caramel, menthol (21)Finishing varnish, menthol and wood ... milk and grass (21)"
231,Arran Sherry Cask  The Bodega,"https://whiskylovingpianist.wordpress.com/2021/01/20/swag-whats-in-your-cupboard-december-2020/N: Comes across as rather obviously/blatantly sherried at first, but not so. Given time, it’s far more subtlety sherried with wax capacitors into citrusy [PX-ey?] raisins – an Arran clue there – cello-tape and Airfix glue in the background, red fruits, red apples, fusty fermented/drying leathery umami,… plenty here,…[no sulphur],… needs exploring. T: Well made whisky with ‘more oloroso over >> PXey Arran‘, I write before Kenny nails it again. How good is he? Excellent is what! Descriptors-wise, we’ve thick fusty sour green confectionary wine gums. Without interfering cask influence, there’s no talk of the seams between cask/spirit – it’s all nicely consolidated. One might argue this is painting by numbers, perhaps, yet the painting is very good. Nothing wrong here.F: Sour sweet creamy, almost emulsion-thick creamy finish.C: Around €40 or £50, this is very good. Whilst some of the more established distilleries have struggled with adapting sherry-dependent profiles of their whiskies due to the new generation of sherry casks [Glenfarclas/Highland Park, for example], Arran seem to have found and maintained very decent quality [sherry] casks that suit their spirit, since their establishment in 1995.Scores 85 points, all day long"
232,Arran Sherry Cask  The Bodega,"Youthful, slightly green sherry, but fair for 40€.Floral. Light sherry, citruses, raisin, peppermint, orange peel and green apple.Powerful and oily. Waxy fruits, sherry, milk chocolate, citruses and spicy oak.Medium length, spicy, bittersweet."
233,Arran Sherry Cask  The Bodega,"N : first loads of caramel, actually very close to Don Papa and this is not a compliment. Hopefully it gets a bit over it, on hazelnuts and cereals. Dried figs too. Light dirtyness.M : sherry (yes), bittersweet. Again with that cheap caramel. Light tobacoo and coffee beans. Touch of lavender too. Better than the Quarter Cask at hiding its age.F : medium, still caramel but less fake than on the nose. Coffee. Lightly peppered.Very synthetic like its bourbon sibling and just as capable in terms of showcasing cask influence. I'd say it's also better engineered. But really not my cup of tea. At about 40€, above average 6/10."
234,Arran Sherry Cask  The Bodega,"RATING: 86pts – |83 – 86 (B) → Good| — Not a “must”, but a nice-to-have.The nose is powerfully sherried and harmonious with a profile of strong black tea, prunes, mint gum and milk chocolate.The taste is bittersweet, massive and spicy with notes of menthol, dark chocolate, caramel and dark dried fruits.The finish is medium to long, well-rounded and fades away slowly with milk chocolate, tannic wood and cloves."
235,Arran Sherry Cask  The Bodega,"(Lot 20 08 19)APPEARANCE: Between dark copper and medium brown colour. NOSE: Initially sherry and wood notes, mint and some dried fruits and noticeable oak notes. With some air; dry, baked oak, sawdust, some alcohol, all overpowering the sherry. With more air the sherry cask reappears; vanilla, some dried fruits (quite dry impression), then molasses and some honey. Later dark treacle and dark honey. Dark chocolate. (86-87p) With a few drops of water it feels less oaky, more sherried and slighty older. After my third addition of a few drops it really starts to come around on the nose; oranges, lemons, dried orange rind, fortified sweet wine, some fruit cake, pine needles, mint. (87-88p)TASTE: The arrival is mainly sherried (on rather dry, dried fruits) but also a bit woody and a bit nippy. On the mid palate a mix of wood / oak sawdust and dried fruits, with a little sweetness towards the end. (85p) With a few drops of water more of the sherry notes come forward. With another few drops, the whisky becomes sweeter, more sherry, less oak. Even better after my third addition of a few drops. Also sweeter. (86p)FINISH: The finish is peppery, woody and slightly sweet. (84p) With quite a bit of water the finish becomes more civilised, rounder, less woody/peppery, softer. (85p)OVERALL: Straight after the initial uncorking and undiluted, this presents itself as a quite intensely oaked and sherried, relatively young (5-8 years?) whisky. What it doesn’t do is reveal much of its Arran distillate/origins, although (hard) dilution brings some of it into the light. Several drops of water makes the expression older, more sherried and “smoother”. TOTAL SCORE (for now) 86 points. I will let this breathe and re-review later, in some 4-12 months time."
236,Arran Sherry Cask  The Bodega,Price / performance ratio fits.
237,Arran Sherry Cask  The Bodega,"Nose: strong sherry aromas, very very fresh though! Fresh fruits, berries, citrus. Hazelnuts, raisins, caramel.Taste: very very sweet, sherry a lot of sherry, caramel, fresh fruits but in the background some dark fruits also, hazelnut (diluted down to about 46-47%: citrus emerges, orange and some menthol)Finish: Medium/long, very sweet it becomes a bit dry but maintaines it's sweetnessVery good whisky I would pick this over the Aberlour A'bunadh any day of the week!sherry, fresh fruits, berries, citrus, hazelnuts, caramel, raisinssherry, caramel, fresh fruits, dark fruits, hazelnut (citrus orange and menthol when diluted)medium/long, very sweet"
238,Arran Sherry Cask  The Bodega,"a sweetness and not a hush, young, dusty"
239,Auchentoshan 12-year-old,"Tasty and cheap for 30 €, but rather for faster pleasure, chewing on it too long, it is a bit dry and strawy. The floral-fruity-fresh Auchentoshan-house-note in the nose I find personally very pleasant - who does not like this here, should rather also from other Auchentoshans keep their fingers, which continues even with a larger barrel influence quite well.between sweet and fresh, there is vanilla, some honey and malt, but also the very typical (from the New Make?) flowery-fruity (green apple, lime), very slightly artificial acting Auchentoshan noteslightly sweet (honey, caramel), then short green-tart-fruity, slightly bitter (green apple, lime, melon peel), then woody, quite drymedium long, very dry, a little nut, straw-woody"
240,Auchentoshan 12-year-old,
241,Auchentoshan 12-year-old,"I'll make it short: no one needs this malt.  The American Oak is even more exciting.  It is also slightly smoky. Just so that it brings nothing to the smoke lover, but repels those who do not like the smoke."
242,Auchentoshan 12-year-old,Great entry-level whisky at a reasonable price.
243,Auchentoshan 12-year-old,"..Fresh, floral, vanilla, malt, honey, green fruit, a little citrus, hay, fresh oak, leather, light dried fruit in the backgroundDry and slightly sweet, vanilla, honey, a pinch of pepper, citrus, a little malty, a handful of spices, oak bitternessShort, dry, pepper, a little citrusy, vanilla, oak bitterness"
244,Auchentoshan 12-year-old,"The ratio of price and pleasure is especially attractive in it.Light, dry, with notes of fresh baked goods, vanilla, wildflowers, dried apricots. In the background, hints of sesame, old leather, tobacco and nutmeg are felt.Oily, nutty, sherry tones are noticeable in the taste, there are many malt, ginger and citrus notes.Medium-lasting aftertaste, dry, measured, with nuances of bread, vanilla, dried fruit, with a hint of wine. At the end it is warming, slightly peppery, with an oak and vanilla flavor."
245,Auchentoshan 12-year-old,"Have had worse, but this one's utterly forgettable in my book. Does not hurt anybody but if you consider alcohol consumption something you want to make count flavorwise in respect to your bodily health... why not drink sth better instead. And, yes, I mean pretty much from the same entry level price range... ;-)"
246,Auchentoshan 12-year-old,"Very smooth, flavours are present but not distinct, a good average whisky"
247,Auchentoshan 12-year-old,"- a decent malt and a good representative for the Lowlands - good entry-level malt - for less than 28 € perfectly fine,fruity (mandarin, orange), malt, sherry and light chocolate in the smellfruity, tingling sweet start, orange, which turns into a strong pleasant spice (oak) and spreads, slightly sweet combination of fruit / sherry and oakmedium-long finish; in the aftertaste spice, becoming dry"
248,Auchentoshan 12-year-old,This drinks exactly like how a non-drinker would describe whisky.
249,"Auchentoshan 18-year-old  Limited ""A"" Release","RATING: 85pts – |83 – 86 (B) → Good| — Not a “must”, but a nice-to-have.The nose is cognac-ish, sweet and oaky with notes of bitter chocolate, grapefruit, tangerines and caramel.The taste has a salty with mild bitterness profile with hints of spicy oak, grapefruit zest, chocolate and green tea.The finish is medium lenght with a domination of bitter oakiness with hints of orange zest and chocolate."
250,"Auchentoshan 18-year-old  Limited ""A"" Release",
251,"Auchentoshan 18-year-old  Limited ""A"" Release","There's obvious age and immediate enjoyability, but something seems lost in the new release. The fruit isn't as sherry-rich and there's a darker, more bitter or tannic vein running through it. It's nice, but it lacks something to make it worth coming back to at the price.Note:Time shifts the nose to oxidized orchard fruits, cold fruit pies/cobbler, dried pineapple cubes and candied ginger, with a distant scent of old books kept in cardboard boxes.Water brings out malt and vanilla on the nose and dulls the fruit and spice. Similarly, brings out malt on the palate, but dulls the other flavors. Water is not recommend.Fresh orchard fruits (Fuji and Granny Smith apples), the distant smell of macerated berries and cut oranges, baking fruit pies and cobbler, oak spice with a touch of high cocoa dark chocolate, and white and tropical fruit candies (think pastels and haribo gummy bears) fading to ginger and earthy garden herbs.Dark chocolate covered freshly cut fruits, a flash of floral honey, baked fruit and oak spice, sharp cinnamon candy that lingers, and licorice root tea sweetened with bittersweet molasses.A touch of bittersweet floral, and a long fade out of high cocoa hot chocolate powder, sharp baking spices (cardamom), and oak tannins."
252,"Auchentoshan 18-year-old  Limited ""A"" Release",
